main_action,possiblity,vertical_position,horizontal_angle,zoom,pov,extra_condition,extra_condition_2,male,male_head,male_upper,male_lower,male_feet,man_hand,crotch,bottom,male_body_part,head,face,chest,back,thigh,leg,feet,arm,hand
kiss,10,eye_level,,close-up,,,,1,1,1,0,0,3,0,0,0,1,1,1,0,0,0,0,1,3
missionary,,eye_level,side_view,,,,,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
missionary,,eye_level,side_view_left,close-up,,,,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
cowgirl,,from_below,frontal,,1,,,1,0,0,0,0,1,2,1,2,1,2,1,0,1,1,0,1,2
kneeling_doggy,,eye_level,side_view_left,,,,,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1
kneeling_doggy,,from_above,back,,1,,,1,0,0,0,0,2,0,2,2,1,0,0,1,1,1,0,1,1
oral,,overhead,frontal,,1,,,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,1,2
oral,,eye_level,side_view,full-body,,,,1,1,1,1,1,2,0,1,2,1,1,1,0,1,1,1,1,2
oral,,eye_level,side_view,,,,,1,0,1,1,0,2,0,1,2,1,1,1,0,0,0,0,1,2
oral,,eye_level,side_view,close-up,,,,1,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,2
reverse_cowgirl,,from_above,side_view_left,,,lean backward,,1,0,1,1,0,2,0,0,0,1,2,0,1,1,1,1,1,
